"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Hyun-Jin Ryu","Dodgers","4","0","0","5","5","33.2","6.15","0.53","0.27",".269","94.8 %","55.3 %","4.2 %","0.80","2.44","3.44","1.2","14444"
"Jason Vargas","Mets","2","1","0","4","4","27.0","6.67","3.00","0.00",".288","84.4 %","45.0 %","0.0 %","1.67","2.68","4.47","0.9","8044"
"Sonny Gray","Reds","2","1","0","4","4","22.2","9.13","3.97","0.00",".317","79.3 %","60.0 %","0.0 %","2.38","2.45","3.48","0.8","12768"
"Sandy Alcantara","Marlins","2","2","0","5","5","32.0","6.75","3.66","0.00",".232","70.6 %","51.9 %","0.0 %","1.69","3.06","4.21","0.8","18684"
"Jose Quintana","Cubs","0","4","0","6","6","32.1","6.40","2.78","0.56",".320","64.0 %","41.7 %","5.0 %","4.45","3.47","5.06","0.8","11423"
"Dakota Hudson","Cardinals","3","0","0","5","5","31.2","5.68","3.69","0.00",".245","81.1 %","63.8 %","0.0 %","1.99","3.22","4.08","0.8","19206"
"Griffin Canning","Angels","1","1","0","5","5","30.0","8.40","1.20","0.90",".225","80.7 %","37.8 %","7.7 %","2.70","3.39","4.61","0.7","19867"
"Spencer Turnbull","Tigers","1","3","0","6","6","33.0","7.91","3.00","0.82",".303","67.0 %","56.0 %","10.0 %","3.27","3.76","4.34","0.7","16207"
"Brad Peacock","Astros","2","1","0","5","5","28.1","9.53","2.22","0.95",".268","86.8 %","41.1 %","11.5 %","2.54","3.58","3.98","0.6","5401"
"John Means","Orioles","1","1","0","5","5","27.0","8.00","3.00","1.00",".278","83.3 %","34.2 %","8.1 %","3.00","3.94","5.14","0.6","16269"
"Ariel Jurado","Rangers","3","1","0","5","5","28.2","7.85","3.14","1.26",".301","75.6 %","46.5 %","12.9 %","3.77","4.38","4.66","0.5","17030"
"Ryne Stanek","Rays","0","0","0","8","8","13.2","11.20","3.29","0.66",".324","89.7 %","29.4 %","6.3 %","1.98","2.72","4.03","0.4","15947"
"Anibal Sanchez","Nationals","2","0","0","4","4","18.2","8.20","1.93","0.96",".178","100.0 %","40.4 %","10.5 %","0.96","3.37","3.95","0.4","3284"
"Trent Thornton","Blue Jays","0","1","0","5","5","26.2","9.11","4.39","1.01",".307","72.6 %","34.6 %","10.0 %","4.73","4.17","4.88","0.4","17948"
"Martin Perez","Twins","2","1","0","5","5","24.0","7.88","5.63","0.75",".346","63.1 %","55.7 %","11.8 %","5.63","4.37","4.65","0.3","6902"
"Peter Lambert","Rockies","2","0","0","2","2","12.0","9.00","2.25","0.75",".207","94.3 %","50.0 %","11.1 %","1.50","3.49","3.86","0.3","17969"
"Jakob Junis","Royals","1","2","0","5","5","30.2","8.80","2.64","1.76",".274","67.6 %","44.4 %","17.1 %","4.70","4.63","4.29","0.3","13619"
"Chase Anderson","Brewers","1","1","0","5","5","23.0","9.39","2.35","1.96",".308","80.0 %","40.0 %","20.0 %","4.30","4.81","4.09","0.2","6895"
"Trevor Bauer","Indians","0","4","0","6","6","39.2","8.39","4.08","1.59",".236","64.3 %","45.7 %","15.2 %","4.76","5.48","5.43","0.1","12703"
"Mike Foltynewicz","Braves","1","2","0","5","5","28.0","9.00","1.61","2.25",".264","76.6 %","36.4 %","24.1 %","4.50","5.05","3.80","0.1","10811"
"James Paxton","Yankees","0","1","0","3","3","11.1","9.53","5.56","1.59",".290","52.6 %","24.2 %","11.1 %","7.15","5.19","5.96","0.1","11828"
"Zack Godley","Diamondbacks","0","1","0","1","1","3.1","8.10","5.40","0.00",".462","50.0 %","46.2 %","0.0 %","10.80","3.16","5.48","0.1","14862"
"Jeff Samardzija","Giants","1","4","0","5","5","26.2","7.43","2.70","1.35",".277","60.5 %","38.8 %","13.3 %","4.05","4.58","4.81","0.1","3254"
"Tanner Anderson","Athletics","0","1","0","1","1","5.2","7.94","3.18","1.59",".143","83.3 %","46.7 %","14.3 %","3.18","4.75","4.84","0.1","18029"
"Odrisamer Despaigne","White Sox","0","1","0","1","1","6.0","3.00","3.00","1.50",".286","79.0 %","27.3 %","7.7 %","4.50","5.66","7.68","0.0","16017"
"Cole Irvin","Phillies","1","1","0","2","2","10.2","6.75","3.38","2.53",".273","46.9 %","36.1 %","18.8 %","8.44","6.72","5.96","-0.1","19244"
"Mike Leake","Mariners","2","2","0","5","5","34.2","5.45","1.56","2.34",".216","78.7 %","52.3 %","22.0 %","4.67","5.93","4.84","-0.1","10130"
"Nick Margevicius","Padres","0","2","0","3","3","10.2","5.06","1.69","3.38",".333","59.7 %","38.1 %","36.4 %","8.44","7.47","4.59","-0.2","20395"
"Chris Archer","Pirates","2","3","0","5","5","29.0","8.38","4.34","3.10",".259","80.7 %","43.7 %","34.5 %","5.90","7.23","4.68","-0.5","6345"
